,neuron,mae,mse,rmse,Perror
9798,relu_17_15_28,0.13620486577351823,0.021679238605336083,0.14723871299809735,13.46032304260242
14990,relu_24_19_9,0.13211282809575334,0.0216800983536238,0.14724163254196757,12.991802659214192
3408,relu_8_22_10,0.13500157912572158,0.02168401783962059,0.1472549416475406,14.456717797392079
12257,relu_20_25_30,0.13336111625035538,0.02168426372596447,0.14725577654531746,13.152037674662157
6224,relu_12_18_18,0.1258430290222174,0.021685064919027698,0.14725849693320822,12.26797636386286
1092,relu_5_17_16,0.14178431510925346,0.021685475460824544,0.14725989087604455,14.13412852038989
4388,relu_10_4_18,0.12459459781646783,0.021687058945297568,0.14726526727405062,13.058668166042654
7667,relu_14_17_30,0.13232490142186418,0.021690681851468763,0.14727756737354392,12.808237214053657
15753,relu_25_20_16,0.10864152034123668,0.021694532255105425,0.14729063872190054,12.999475653452228
9261,relu_16_23_4,0.14185108264287247,0.0216965124749951,0.14729736071971927,14.063810470220961
9443,relu_16_29_24,0.13581452687581314,0.021699412882248564,0.1473072058055836,13.433983783743088
9675,relu_17_11_13,0.1254519375165297,0.02170139009154712,0.14731391682915473,12.553407320199486
9569,relu_17_7_15,0.12680692990620865,0.021703774468532114,0.14732200945049628,12.17142028277468
14197,relu_23_16_26,0.13031770467758236,0.02170770096885737,0.14733533509941657,12.681537124462825
7403,relu_14_8_9,0.10952647288640274,0.021716720511594106,0.1473659408126386,11.077427067605251
13985,relu_23_8_30,0.12195268948872814,0.021724328806673528,0.14739175284483705,12.60963229203719
12980,relu_21_25_24,0.13944888432820574,0.02172902536385012,0.14740768420896558,14.196384710722992
11424,relu_19_22_7,0.12771020491917862,0.021733239028489032,0.1474219760703574,11.913698264465175
8287,relu_15_13_29,0.13492722829182877,0.021735413314662427,0.1474293502483899,12.515060864575807
3229,relu_8_15_20,0.12755866368611585,0.021740570360450427,0.14744683909955625,12.450292058404438
7847,relu_14_24_21,0.12169295867284073,0.02174108391526427,0.14744858058070368,13.039953632987586
13874,relu_23_4_27,0.1162221725781752,0.02174155160724219,0.14745016652158174,11.431582276321798
7562,relu_14_14_6,0.11246910413106218,0.021744738879210374,0.147460974088775,11.588499086164262
3772,relu_9_8_23,0.1110975050926214,0.021751648250028448,0.1474844000226073,9.438656920319028
13156,relu_22_5_11,0.138366368611653,0.021757560429763283,0.14750444206790275,13.559573813264365
6447,relu_12_26_25,0.13341319878896013,0.02176567721769951,0.1475319532091252,13.753696307241105
11911,relu_20_13_8,0.12028481086095108,0.02176804464781574,0.14753997643966105,12.629769565266374
5407,relu_11_15_11,0.1367464693387343,0.021768619341785166,0.14754192401410918,13.580642533710312
13320,relu_22_11_13,0.11069648583729996,0.021776579803948856,0.1475688984981214,10.719279833306274
2950,relu_8_5_11,0.1216016681989027,0.021777485234405182,0.14757196628901162,12.942062816180462
7077,relu_13_23_7,0.12317281087239518,0.02178777408248626,0.14760682261496674,12.105263318751337
993,relu_5_13_25,0.1294133337338759,0.02178971139619978,0.14761338488158782,12.665728772079648
8711,relu_15_29_21,0.14230143149693741,0.02179911446027424,0.1476452317559705,13.809918531447005
8792,relu_16_5_21,0.12159701903661027,0.021800372633193586,0.14764949249216397,11.582817554219643
6115,relu_12_14_17,0.1142369039853407,0.021801584694584767,0.14765359695782818,10.934008997338754
3500,relu_8_25_21,0.07878719886143933,0.021803076587100463,0.14765864887334051,10.200960815190996
10070,relu_17_25_30,0.13266357501347795,0.02180867534494583,0.1476776061051432,11.44745491929658
12436,relu_21_5_20,0.13492834885915056,0.021809568428292344,0.14768062983442462,13.096484757690689
143,relu_4_9_12,0.1303853305180861,0.021811228671509385,0.14768625078696182,13.555359178675047
14852,relu_24_14_6,0.11746136267979874,0.021816309581832602,0.14770345148923433,11.676869135748415
10510,relu_18_15_11,0.13618618329365978,0.021820303265188284,0.14771697013271118,13.734980741825122
5986,relu_12_9_23,0.12475662549336686,0.0218204794142104,0.14771756636978015,12.088486535752422
6368,relu_12_23_27,0.13064056952794323,0.021820826227742653,0.14771874027266363,13.78862762462436
2425,relu_7_12_26,0.13848386128743423,0.021823963854193593,0.14772936016308197,12.907772081013587
10198,relu_17_30_23,0.11733703692754041,0.02182746196919308,0.14774119929523072,12.57471235300746
3026,relu_8_8_6,0.11581763346989879,0.02183306184628748,0.14776014972341994,12.844398169900241
13111,relu_21_30_20,0.12895735820134416,0.021842967286210636,0.14779366456722912,12.038157124152699
15756,relu_25_20_19,0.12527871688206924,0.021842994679408433,0.14779375724098914,11.25463574550603
10382,relu_18_10_18,0.11948809941609631,0.021843686490174402,0.1477960976824977,13.555352094855461
10558,relu_18_17_5,0.11846832593281997,0.021848171170450372,0.14781126875326647,11.359595303123784
10894,relu_18_29_17,0.12922365983327164,0.02184975193310848,0.1478166158897858,12.652588775749312
11677,relu_20_4_17,0.13463923056920304,0.021851520988051425,0.1478225997202438,13.370736282144515
