,neuron,mae,mse,rmse,Perror
4418,relu_10_5_21,0.0890908118895283,0.01809576419694204,0.13452049731153257,16.82325248597709
1353,relu_5_27_7,0.10078404937389374,0.018095912253753225,0.1345210476236088,19.700743859164902
1561,relu_6_7_26,0.11296650529771571,0.018096012768697385,0.1345214212261281,21.314969765952494
2834,relu_7_27_30,0.09112759728146613,0.01809613305056154,0.1345218682986582,14.252053633509256
1368,relu_5_27_22,0.10226367725338306,0.01809777659616193,0.13452797700167027,16.50712138433532
4245,relu_9_26_10,0.09665290160095599,0.018098051413726408,0.13452899841196472,17.491334909191963
15520,relu_25_11_26,0.08956841273224261,0.018098069991164596,0.13452906745816903,14.50825115290991
14018,relu_23_10_9,0.10155059291040805,0.018099185541281915,0.13453321352469774,17.477605038519634
17620,relu_28_8_20,0.11087974844779339,0.018099524455273498,0.13453447311107106,20.555338114336806
10621,relu_18_19_14,0.09689328340804484,0.01809957695593046,0.13453466823064775,16.07321096879307
10901,relu_18_29_24,0.1023703430405846,0.018100525514201778,0.13453819351471083,17.765927772109464
1848,relu_6_18_16,0.08426137534892467,0.018100941276136907,0.1345397386504705,15.04295907881437
12726,relu_21_16_13,0.09273260968606786,0.018102210362452888,0.13454445496731884,12.961945536328336
10835,relu_18_27_12,0.11533865226423648,0.01810331377771534,0.13454855546498945,21.85244117197982
16214,relu_26_10_18,0.09224338923099518,0.018104542872674753,0.1345531228648178,18.577545428355023
5491,relu_11_18_14,0.10406786469733623,0.01810475151615,0.13455389818266136,15.369585698358206
18734,relu_29_22_27,0.09803541798306525,0.01810789417949351,0.1345655757595289,18.06031186104299
775,relu_5_5_23,0.08733740781888241,0.01810905248481314,0.13456987956007518,13.033985510098276
11931,relu_20_13_28,0.10761693629305677,0.018109275604286067,0.13457070856722894,16.257365624727363
12487,relu_21_7_17,0.09269701738072456,0.018111292342520936,0.134578201587482,16.842722230576708
7532,relu_14_12_30,0.10059963433062938,0.018111429441743602,0.13457871095289775,15.737537963323273
17731,relu_28_12_23,0.09593342665744842,0.01811271200048135,0.1345834759563051,17.345601397501728
15649,relu_25_16_20,0.0907326308281523,0.01811447483704476,0.13459002502802633,16.264530225791475
17971,relu_28_21_20,0.09166383419347823,0.018114943775559972,0.13459176711656612,18.099149428454176
15700,relu_25_18_17,0.09331559810949386,0.018114989863251,0.13459193832934793,16.91737501459987
14937,relu_24_17_10,0.10816230146205333,0.018115128283168545,0.134592452549051,19.16389332963948
16223,relu_26_10_27,0.08186695080448408,0.018115431188030152,0.1345935778112394,12.13254376525878
18310,relu_29_7_8,0.09585066933346809,0.018115714082020364,0.1345946287264851,18.691328308912148
18448,relu_29_12_11,0.09698598880482734,0.018116872515349,0.13459893207358295,17.35589679558749
10410,relu_18_11_19,0.09207483670777716,0.018116888361803852,0.13459899093902544,17.834575302096926
15022,relu_24_20_14,0.08882653430680101,0.018119436136451266,0.13460845492186316,14.913603538455892
12335,relu_20_28_27,0.11485114587461856,0.01812195519589714,0.13461781158486102,20.2395120961124
1587,relu_6_8_25,0.11603537468230632,0.018122164280693027,0.13461858816929045,19.425470294878814
12895,relu_21_22_20,0.1001155753822428,0.01812301230479664,0.13462173786130024,17.593353831652244
13908,relu_23_6_7,0.09197341699315131,0.018123022694831684,0.13462177645103218,17.876581711749914
19607,relu_30_28_9,0.10241268841540721,0.018124476730280812,0.13462717678938682,16.29611492362462
16375,relu_26_16_17,0.08796743724657119,0.018126519869860348,0.13463476471498864,14.77291506955906
15234,relu_24_28_10,0.10954455225076046,0.01812796797503628,0.13464014250971468,19.74428505302622
8232,relu_15_11_28,0.09609930638385833,0.018131371630729087,0.13465278174151876,17.59353182352473
7146,relu_13_25_22,0.09841777650630382,0.01813142736097338,0.13465298868192038,18.71796382891839
14692,relu_24_8_8,0.09602602860993781,0.018132812615779363,0.1346581323789223,19.238091736165945
11240,relu_19_15_12,0.10140280846668304,0.01813291505314648,0.13465851273924898,18.086086460974805
4372,relu_9_30_29,0.09341691524366205,0.018135731782225592,0.13466897111890916,15.448337092354919
7492,relu_14_11_17,0.09541347343924522,0.01813573284749325,0.13466897507404313,18.482735219228065
15618,relu_25_15_16,0.11517407638943103,0.018136778986558036,0.13467285913114801,19.411695249873322
11237,relu_19_15_9,0.09552604381156982,0.018137706062768447,0.13467630104353345,18.150336147970734
465,relu_4_21_10,0.09350295499830966,0.01813841147062335,0.1346789199192782,18.5882047522259
12563,relu_21_10_12,0.0964789792067472,0.018138896465693916,0.13468072046768206,19.60850054518518
11111,relu_19_10_18,0.10120842699411392,0.018139769622471977,0.1346839620091122,19.91925050401008
10822,relu_18_26_26,0.08822381917549194,0.018140782512313002,0.13468772220329886,15.486959675695195
12166,relu_20_22_20,0.1025878180376282,0.018142269298478737,0.13469324147290665,15.328083180927315
10705,relu_18_22_17,0.10674029109990504,0.018143258421259405,0.1346969131838566,18.780040945610533
3871,relu_9_12_14,0.11605157224452403,0.018143335660180816,0.13469719989732828,19.86244364086766
5200,relu_11_7_20,0.09464013625098289,0.01814406938877806,0.13469992349210175,17.245499406370335
198,relu_4_11_13,0.09178279016328872,0.01814512043706803,0.13470382487913263,15.670105918550773
2675,relu_7_22_6,0.09856897682527369,0.01814528562535935,0.1347044380314151,18.67187543481689
5212,relu_11_8_5,0.10709819618774474,0.018145482286651197,0.13470516800275778,18.481606346665064
18816,relu_29_25_28,0.09554057440536001,0.01814574626944964,0.13470614785320542,18.02038638425621
13371,relu_22_13_10,0.09162542096154669,0.018148536220569587,0.13471650314853628,17.470792554390393
16933,relu_27_10_8,0.10741941152131465,0.018151168976090447,0.13472627426040715,18.59382434519643
13209,relu_22_7_10,0.08473992986595538,0.018151875459345043,0.13472889615574324,14.708872704464095
3591,relu_8_29_4,0.09553302545550346,0.0181523170001806,0.13473053477285912,19.172104833476215
7709,relu_14_19_18,0.09024547834111274,0.018152874518356527,0.13473260376893384,14.818474336070619
13413,relu_22_14_25,0.09253081179039457,0.018152903405303903,0.13473271096991962,17.55772401517593
12790,relu_21_18_23,0.12059971211469081,0.01815383721522082,0.13473617634184526,19.8702199221426
19346,relu_30_18_18,0.0968787769116638,0.018154359022758176,0.13473811273265696,19.06608884070882
16612,relu_26_25_11,0.09133705390608218,0.01815468107884791,0.1347393078461067,16.54537234436671
1003,relu_5_14_8,0.09491528801008076,0.01815504473498284,0.13474065731984106,12.49024152220043
10764,relu_18_24_22,0.09783153502261546,0.018156290380481176,0.13474527962226052,17.841693721871607
4194,relu_9_24_13,0.08675442880766371,0.01815670539326368,0.13474681960352045,16.369570410360662
18150,relu_28_28_10,0.10155883697783855,0.018156731663188735,0.1347469170823167,18.361741609456733
15183,relu_24_26_13,0.10976690692818072,0.018156934782855308,0.13474767078823777,17.8890327659355
4784,relu_10_19_9,0.10306447047902167,0.01815693597203459,0.13474767520085307,17.646227938433267
7269,relu_13_30_10,0.09785840905086973,0.01815746151433698,0.13474962528458836,18.059354780336356
